Leistung,temperature_2m_templin,cloud_cover_templin,shortwave_radiation_templin,diffuse_radiation_templin,direct_normal_irradiance_templin,temperature_2m_kastellaun,cloud_cover_kastellaun,shortwave_radiation_kastellaun,diffuse_radiation_kastellaun,direct_normal_irradiance_kastellaun,temperature_2m_guetersloh,cloud_cover_guetersloh,shortwave_radiation_guetersloh,diffuse_radiation_guetersloh,direct_normal_irradiance_guetersloh,temperature_2m_ingolstadt,cloud_cover_ingolstadt,shortwave_radiation_ingolstadt,diffuse_radiation_ingolstadt,direct_normal_irradiance_ingolstadt,temperature_2m_erfurt,cloud_cover_erfurt,shortwave_radiation_erfurt,diffuse_radiation_erfurt,direct_normal_irradiance_erfurt,temperature_2m_neumunster,cloud_cover_neumunster,shortwave_radiation_neumunster,diffuse_radiation_neumunster,direct_normal_irradiance_neumunster
2024-01-01 00:00:00+00:00,0.0,4.2,30.000002,0.0,0.0,0.0,4.9985,91.799995,0.0,0.0,0.0,7.0235,100.0,0.0,0.0,0.0,2.898,73.8,0.0,0.0,0.0,6.4639997,86.1,0.0,0.0,0.0,4.963,73.2,0.0,0.0,0.0
2024-01-01 01:00:00+00:00,0.0,4.55,84.9,0.0,0.0,0.0,5.0485,91.2,0.0,0.0,0.0,6.7235,50.4,0.0,0.0,0.0,3.5479999,85.2,0.0,0.0,0.0,6.164,57.6,0.0,0.0,0.0,5.363,66.0,0.0,0.0,0.0
2024-01-01 02:00:00+00:00,0.0,4.4,20.4,0.0,0.0,0.0,4.6985,64.799995,0.0,0.0,0.0,6.8234997,46.5,0.0,0.0,0.0,3.598,68.4,0.0,0.0,0.0,6.4639997,81.0,0.0,0.0,0.0,4.963,100.0,0.0,0.0,0.0
2024-01-01 03:00:00+00:00,0.0,3.9,39.3,0.0,0.0,0.0,4.3985,100.0,0.0,0.0,0.0,6.5235,80.399994,0.0,0.0,0.0,3.148,26.100002,0.0,0.0,0.0,6.4639997,100.0,0.0,0.0,0.0,5.363,72.9,0.0,0.0,0.0
2024-01-01 04:00:00+00:00,0.0,3.85,57.3,0.0,0.0,0.0,4.1485,90.0,0.0,0.0,0.0,6.4235,100.0,0.0,0.0,0.0,2.698,4.2,0.0,0.0,0.0,6.514,100.0,0.0,0.0,0.0,5.563,82.5,0.0,0.0,0.0
2024-01-01 05:00:00+00:00,0.0,3.65,36.899998,0.0,0.0,0.0,4.3485003,93.9,0.0,0.0,0.0,5.9735,100.0,0.0,0.0,0.0,2.5479999,19.2,0.0,0.0,0.0,6.514,33.300003,0.0,0.0,0.0,5.663,100.0,0.0,0.0,0.0
2024-01-01 06:00:00+00:00,0.4,3.35,16.5,0.0,0.0,0.0,4.1985,94.2,0.0,0.0,0.0,6.4235,100.0,0.0,0.0,0.0,2.448,8.099999,0.0,0.0,0.0,5.8139997,16.8,0.0,0.0,0.0,5.913,100.0,0.0,0.0,0.0
2024-01-01 07:00:00+00:00,2766.3,2.95,41.7,0.0,0.0,0.0,3.9984999,90.6,0.0,0.0,0.0,6.5734997,100.0,0.0,0.0,0.0,2.2979999,5.3999996,0.0,0.0,0.0,5.4639997,72.0,0.0,0.0,0.0,6.363,100.0,0.0,0.0,0.0
2024-01-01 08:00:00+00:00,19251.6,3.15,64.2,8.0,6.0,29.80829,3.9485002,90.0,2.0,2.0,0.0,6.5734997,100.0,1.0,1.0,0.0,2.648,7.2,24.0,11.0,149.46986,5.864,100.0,9.0,7.0,27.888586,6.263,100.0,0.0,0.0,0.0
2024-01-01 09:00:00+00:00,37637.5,4.1,29.400002,68.0,40.0,242.94473,4.0985003,98.100006,32.0,30.0,16.750204,6.7735,100.0,16.0,16.0,0.0,4.048,2.7,122.0,39.0,530.2701,6.5639997,57.0,36.0,35.0,8.008273,6.163,100.0,12.0,12.0,0.0
2024-01-01 10:00:00+00:00,46189.7,5.3,6.6000004,147.0,51.0,512.9599,4.5485,100.0,42.0,41.0,4.8700523,7.0734997,100.0,32.0,31.0,5.463729,5.898,7.5,216.0,50.0,675.48047,7.0639997,78.9,156.0,68.0,419.33817,6.063,100.0,28.0,28.0,0.0
2024-01-01 11:00:00+00:00,44267.600000000006,6.4,100.0,201.0,52.0,647.478,4.7485,87.6,96.0,74.0,82.565,7.3234997,100.0,43.0,42.0,4.177384,6.598,6.0,263.0,67.0,657.21875,7.2139997,100.0,182.0,99.0,318.35184,6.063,100.0,29.0,29.0,0.0
2024-01-01 12:00:00+00:00,37115.6,5.7,100.0,94.0,73.0,88.932175,5.1985,60.600002,184.0,107.0,266.42462,7.2735,100.0,27.0,27.0,0.0,7.198,11.7,270.0,71.0,641.1552,7.3139997,100.0,158.0,117.0,150.10765,6.363,100.0,34.0,31.0,13.547616
2024-01-01 13:00:00+00:00,24842.2,5.7,59.4,33.0,33.0,0.0,4.8985,100.0,160.0,108.0,191.55037,6.9235,100.0,72.0,56.0,66.93526,7.098,6.9,210.0,81.0,458.45932,7.364,94.2,148.0,90.0,235.51517,6.213,100.0,45.0,44.0,5.020561
2024-01-01 14:00:00+00:00,8425.4,5.5,62.700005,81.0,45.0,260.5267,4.9985,100.0,98.0,73.0,116.26721,6.6235,52.5,72.0,60.0,65.805214,7.198,18.300001,180.0,46.0,628.51355,7.114,100.0,102.0,76.0,142.90254,6.163,100.0,21.0,21.0,0.0
2024-01-01 15:00:00+00:00,474.0,4.8,100.0,13.0,11.0,23.941729,4.6985,100.0,36.0,36.0,0.0,6.2735,81.9,42.0,26.0,147.16895,6.198,36.3,76.0,29.0,386.87494,6.764,90.600006,17.0,16.0,9.4012,6.463,100.0,6.0,6.0,0.0
2024-01-01 16:00:00+00:00,0.0,5.4,85.2,0.0,0.0,0.0,4.2985,100.0,4.0,4.0,0.0,5.9235,70.8,1.0,1.0,0.0,5.198,84.0,4.0,3.0,16.377975,6.364,62.100002,1.0,1.0,0.0,6.113,100.0,0.0,0.0,0.0
2024-01-01 17:00:00+00:00,0.0,4.85,100.0,0.0,0.0,0.0,4.4985,100.0,0.0,0.0,0.0,5.4235,29.400002,0.0,0.0,0.0,4.748,89.100006,0.0,0.0,0.0,5.7139997,51.000004,0.0,0.0,0.0,5.813,100.0,0.0,0.0,0.0
2024-01-01 18:00:00+00:00,0.0,4.8,58.5,0.0,0.0,0.0,4.2985,100.0,0.0,0.0,0.0,5.0235,16.5,0.0,0.0,0.0,4.498,90.00001,0.0,0.0,0.0,5.3139997,10.799999,0.0,0.0,0.0,5.763,100.0,0.0,0.0,0.0
2024-01-01 19:00:00+00:00,0.0,4.45,32.7,0.0,0.0,0.0,3.8985,100.0,0.0,0.0,0.0,4.6735,22.5,0.0,0.0,0.0,4.298,90.00001,0.0,0.0,0.0,4.764,7.2,0.0,0.0,0.0,5.663,100.0,0.0,0.0,0.0
2024-01-01 20:00:00+00:00,0.0,4.1,16.800001,0.0,0.0,0.0,4.6985,100.0,0.0,0.0,0.0,4.3735,45.300003,0.0,0.0,0.0,4.198,78.90001,0.0,0.0,0.0,4.5639997,8.7,0.0,0.0,0.0,5.413,100.0,0.0,0.0,0.0
2024-01-01 21:00:00+00:00,0.0,3.85,45.0,0.0,0.0,0.0,5.0485,100.0,0.0,0.0,0.0,4.3735,48.9,0.0,0.0,0.0,3.698,90.00001,0.0,0.0,0.0,4.414,19.8,0.0,0.0,0.0,5.513,100.0,0.0,0.0,0.0
2024-01-01 22:00:00+00:00,0.0,3.6,91.5,0.0,0.0,0.0,5.2485,100.0,0.0,0.0,0.0,4.3234997,78.6,0.0,0.0,0.0,3.198,43.200005,0.0,0.0,0.0,4.314,100.0,0.0,0.0,0.0,5.263,99.0,0.0,0.0,0.0
2024-01-01 23:00:00+00:00,0.0,4.45,90.0,0.0,0.0,0.0,5.1985,100.0,0.0,0.0,0.0,4.6735,100.0,0.0,0.0,0.0,2.348,33.600002,0.0,0.0,0.0,4.8139997,100.0,0.0,0.0,0.0,5.263,96.0,0.0,0.0,0.0
2024-01-02 00:00:00+00:00,0.0,4.6,90.0,0.0,0.0,0.0,5.0485,100.0,0.0,0.0,0.0,5.3234997,100.0,0.0,0.0,0.0,2.0479999,56.4,0.0,0.0,0.0,4.7139997,100.0,0.0,0.0,0.0,4.713,93.0,0.0,0.0,0.0
2024-01-02 01:00:00+00:00,0.0,4.1,41.100002,0.0,0.0,0.0,5.0985003,100.0,0.0,0.0,0.0,6.0734997,100.0,0.0,0.0,0.0,3.748,100.0,0.0,0.0,0.0,5.514,100.0,0.0,0.0,0.0,4.413,54.300003,0.0,0.0,0.0
2024-01-02 02:00:00+00:00,0.0,3.7,100.0,0.0,0.0,0.0,4.9485,100.0,0.0,0.0,0.0,6.1735,100.0,0.0,0.0,0.0,4.498,99.0,0.0,0.0,0.0,5.3139997,100.0,0.0,0.0,0.0,3.613,30.900002,0.0,0.0,0.0
2024-01-02 03:00:00+00:00,0.0,3.6,100.0,0.0,0.0,0.0,4.7985,100.0,0.0,0.0,0.0,6.3735,100.0,0.0,0.0,0.0,4.648,92.700005,0.0,0.0,0.0,5.2139997,100.0,0.0,0.0,0.0,3.363,88.8,0.0,0.0,0.0
2024-01-02 04:00:00+00:00,0.0,2.9,100.0,0.0,0.0,0.0,5.9985,100.0,0.0,0.0,0.0,6.2735,100.0,0.0,0.0,0.0,4.598,100.0,0.0,0.0,0.0,5.2139997,100.0,0.0,0.0,0.0,3.313,96.3,0.0,0.0,0.0
2024-01-02 05:00:00+00:00,0.0,2.45,39.0,0.0,0.0,0.0,6.8485003,100.0,0.0,0.0,0.0,5.9735,100.0,0.0,0.0,0.0,4.848,100.0,0.0,0.0,0.0,5.114,100.0,0.0,0.0,0.0,3.413,90.00001,0.0,0.0,0.0
2024-01-02 06:00:00+00:00,0.3,2.1,90.00001,0.0,0.0,0.0,7.0985003,100.0,0.0,0.0,0.0,5.8234997,100.0,0.0,0.0,0.0,4.848,100.0,0.0,0.0,0.0,5.014,100.0,0.0,0.0,0.0,3.563,92.700005,0.0,0.0,0.0
2024-01-02 07:00:00+00:00,484.9,2.2,89.4,0.0,0.0,0.0,7.1985,100.0,0.0,0.0,0.0,6.0734997,100.0,0.0,0.0,0.0,4.898,100.0,0.0,0.0,0.0,4.7139997,100.0,0.0,0.0,0.0,3.713,100.0,0.0,0.0,0.0
2024-01-02 08:00:00+00:00,3267.7,2.45,90.00001,5.0,5.0,0.0,7.2485,100.0,1.0,1.0,0.0,7.8234997,100.0,0.0,0.0,0.0,4.798,100.0,1.0,1.0,0.0,5.014,100.0,1.0,1.0,0.0,3.913,100.0,0.0,0.0,0.0
2024-01-02 09:00:00+00:00,7866.200000000001,3.2,100.0,36.0,36.0,0.0,7.1985,100.0,11.0,11.0,0.0,9.5234995,100.0,7.0,7.0,0.0,5.198,100.0,7.0,7.0,0.0,5.7139997,100.0,8.0,8.0,0.0,4.213,100.0,10.0,10.0,0.0
2024-01-02 10:00:00+00:00,11930.8,3.75,100.0,52.0,52.0,0.0,7.0985003,100.0,13.0,13.0,0.0,10.2734995,100.0,50.0,50.0,0.0,5.598,100.0,9.0,9.0,0.0,7.514,100.0,22.0,22.0,0.0,4.213,100.0,12.0,12.0,0.0
2024-01-02 11:00:00+00:00,14550.4,4.3,100.0,55.0,55.0,0.0,7.1985,100.0,24.0,24.0,0.0,10.5735,100.0,44.0,44.0,0.0,6.098,100.0,16.0,16.0,0.0,8.564,100.0,49.0,49.0,0.0,4.213,100.0,20.0,20.0,0.0
2024-01-02 12:00:00+00:00,12883.2,4.3,100.0,19.0,19.0,0.0,7.2985,100.0,31.0,31.0,0.0,10.3735,100.0,35.0,35.0,0.0,6.498,100.0,25.0,25.0,0.0,9.314,100.0,71.0,71.0,0.0,4.113,100.0,30.0,30.0,0.0
2024-01-02 13:00:00+00:00,6820.3,4.6,100.0,28.0,28.0,0.0,7.2485,100.0,37.0,37.0,0.0,10.5735,100.0,17.0,17.0,0.0,7.498,100.0,37.0,37.0,0.0,8.764,100.0,26.0,26.0,0.0,4.913,100.0,19.0,19.0,0.0
2024-01-02 14:00:00+00:00,1785.8,4.45,100.0,13.0,13.0,0.0,7.4485,100.0,28.0,28.0,0.0,10.0735,100.0,23.0,23.0,0.0,7.148,100.0,19.0,19.0,0.0,8.6640005,100.0,24.0,24.0,0.0,4.813,100.0,13.0,13.0,0.0
2024-01-02 15:00:00+00:00,78.89999999999999,4.35,100.0,4.0,4.0,0.0,7.8485003,100.0,14.0,14.0,0.0,9.2235,100.0,8.0,8.0,0.0,7.498,100.0,10.0,10.0,0.0,8.1640005,100.0,6.0,6.0,0.0,4.763,100.0,4.0,4.0,0.0
2024-01-02 16:00:00+00:00,0.0,4.4,100.0,0.0,0.0,0.0,7.9484997,100.0,2.0,2.0,0.0,9.1235,100.0,1.0,1.0,0.0,7.448,100.0,1.0,1.0,0.0,8.064,100.0,0.0,0.0,0.0,4.763,100.0,0.0,0.0,0.0
2024-01-02 17:00:00+00:00,0.0,4.5,100.0,0.0,0.0,0.0,8.0985,100.0,0.0,0.0,0.0,9.5234995,100.0,0.0,0.0,0.0,7.398,100.0,0.0,0.0,0.0,8.1640005,100.0,0.0,0.0,0.0,4.713,100.0,0.0,0.0,0.0
2024-01-02 18:00:00+00:00,0.0,4.5,100.0,0.0,0.0,0.0,8.2485,100.0,0.0,0.0,0.0,9.6735,100.0,0.0,0.0,0.0,7.498,100.0,0.0,0.0,0.0,8.764,100.0,0.0,0.0,0.0,4.763,100.0,0.0,0.0,0.0
2024-01-02 19:00:00+00:00,0.0,4.55,100.0,0.0,0.0,0.0,8.0485,100.0,0.0,0.0,0.0,10.0735,100.0,0.0,0.0,0.0,7.548,100.0,0.0,0.0,0.0,8.714001,100.0,0.0,0.0,0.0,4.913,100.0,0.0,0.0,0.0
2024-01-02 20:00:00+00:00,0.0,4.7,100.0,0.0,0.0,0.0,8.1485,100.0,0.0,0.0,0.0,10.8735,100.0,0.0,0.0,0.0,7.798,100.0,0.0,0.0,0.0,8.6640005,100.0,0.0,0.0,0.0,5.163,100.0,0.0,0.0,0.0
2024-01-02 21:00:00+00:00,0.0,5.05,100.0,0.0,0.0,0.0,7.9484997,72.9,0.0,0.0,0.0,10.9735,91.2,0.0,0.0,0.0,8.048,85.200005,0.0,0.0,0.0,8.714001,100.0,0.0,0.0,0.0,5.563,100.0,0.0,0.0,0.0
2024-01-02 22:00:00+00:00,0.0,5.55,100.0,0.0,0.0,0.0,7.6485,70.5,0.0,0.0,0.0,10.3735,39.9,0.0,0.0,0.0,8.698,100.0,0.0,0.0,0.0,9.464001,100.0,0.0,0.0,0.0,6.063,100.0,0.0,0.0,0.0
2024-01-02 23:00:00+00:00,0.0,6.15,100.0,0.0,0.0,0.0,7.4485,100.0,0.0,0.0,0.0,9.3735,34.5,0.0,0.0,0.0,9.598,100.0,0.0,0.0,0.0,9.764,93.899994,0.0,0.0,0.0,6.513,100.0,0.0,0.0,0.0
2024-01-03 00:00:00+00:00,0.0,6.65,100.0,0.0,0.0,0.0,7.3485003,100.0,0.0,0.0,0.0,9.0234995,92.4,0.0,0.0,0.0,9.998,73.5,0.0,0.0,0.0,9.864,65.4,0.0,0.0,0.0,7.413,100.0,0.0,0.0,0.0
2024-01-03 01:00:00+00:00,0.0,6.0,100.0,0.0,0.0,0.0,7.2985,100.0,0.0,0.0,0.0,10.0234995,66.6,0.0,0.0,0.0,8.798,79.2,0.0,0.0,0.0,9.964001,97.2,0.0,0.0,0.0,7.463,97.8,0.0,0.0,0.0
2024-01-03 02:00:00+00:00,0.0,6.35,98.1,0.0,0.0,0.0,7.3985,100.0,0.0,0.0,0.0,9.6235,93.0,0.0,0.0,0.0,8.698,45.6,0.0,0.0,0.0,9.514,87.9,0.0,0.0,0.0,8.412999,100.0,0.0,0.0,0.0
2024-01-03 03:00:00+00:00,0.0,7.15,100.0,0.0,0.0,0.0,7.1985,77.700005,0.0,0.0,0.0,8.9735,100.0,0.0,0.0,0.0,8.798,51.299995,0.0,0.0,0.0,9.364,54.3,0.0,0.0,0.0,8.212999,100.0,0.0,0.0,0.0
2024-01-03 04:00:00+00:00,0.0,7.9,100.0,0.0,0.0,0.0,6.8485003,57.899998,0.0,0.0,0.0,8.8235,100.0,0.0,0.0,0.0,8.748,31.199999,0.0,0.0,0.0,9.114,91.8,0.0,0.0,0.0,7.713,100.0,0.0,0.0,0.0
2024-01-03 05:00:00+00:00,0.0,7.95,95.1,0.0,0.0,0.0,6.4985,79.2,0.0,0.0,0.0,8.5234995,55.5,0.0,0.0,0.0,8.398,30.3,0.0,0.0,0.0,9.014,93.9,0.0,0.0,0.0,7.263,100.0,0.0,0.0,0.0
2024-01-03 06:00:00+00:00,0.7,8.15,100.0,0.0,0.0,0.0,6.2985,100.0,0.0,0.0,0.0,8.4735,86.7,0.0,0.0,0.0,7.998,53.699997,0.0,0.0,0.0,9.214001,38.1,0.0,0.0,0.0,7.163,100.0,0.0,0.0,0.0
2024-01-03 07:00:00+00:00,2124.0,7.95,100.0,0.0,0.0,0.0,6.7985,100.0,0.0,0.0,0.0,8.3235,100.0,0.0,0.0,0.0,8.048,26.7,0.0,0.0,0.0,8.564,97.8,0.0,0.0,0.0,7.213,100.0,0.0,0.0,0.0
2024-01-03 08:00:00+00:00,14083.3,7.9,100.0,3.0,3.0,0.0,6.8485003,100.0,2.0,2.0,0.0,8.6235,100.0,1.0,1.0,0.0,8.348,51.3,21.0,11.0,114.502266,8.714001,100.0,9.0,6.0,41.586388,7.313,100.0,0.0,0.0,0.0
2024-01-03 09:00:00+00:00,28655.2,7.95,100.0,17.0,17.0,0.0,7.1985,94.5,12.0,12.0,0.0,8.5735,100.0,12.0,12.0,0.0,9.198,34.199997,95.0,45.0,317.34708,9.264,100.0,50.0,35.0,119.40414,7.463,100.0,6.0,6.0,0.0
2024-01-03 10:00:00+00:00,34740.4,8.6,100.0,59.0,58.0,5.287677,7.3485003,63.0,115.0,56.0,285.13272,8.3235,100.0,27.0,27.0,0.0,9.948,100.0,191.0,69.0,493.0114,9.614,100.0,102.0,72.0,141.74919,7.513,100.0,17.0,17.0,0.0
2024-01-03 11:00:00+00:00,36663.7,8.8,100.0,65.0,61.0,17.186718,7.6985,72.3,170.0,89.0,301.42303,8.4235,100.0,34.0,34.0,0.0,9.498,84.9,139.0,108.0,103.11324,9.714001,100.0,112.0,86.0,98.792,7.813,100.0,48.0,48.0,0.0
2024-01-03 12:00:00+00:00,34519.9,8.8,100.0,112.0,76.0,150.39352,7.6985,100.0,187.0,76.0,380.18814,8.1735,100.0,30.0,30.0,0.0,9.848,51.000004,154.0,98.0,178.63979,9.714001,24.3,89.0,71.0,65.156624,7.813,100.0,54.0,54.0,0.0
2024-01-03 13:00:00+00:00,23904.5,9.8,44.4,143.0,57.0,412.32883,7.9985,100.0,181.0,65.0,421.74695,9.1235,56.4,65.0,65.0,0.0,10.898,90.3,110.0,91.0,66.64226,10.064,32.1,193.0,67.0,504.0256,7.913,100.0,83.0,62.0,103.52204
2024-01-03 14:00:00+00:00,9026.4,8.65,100.0,78.0,38.0,280.83054,7.4985,100.0,64.0,42.0,100.39455,8.8235,100.0,99.0,47.0,278.84213,10.448,48.9,128.0,70.0,266.73175,9.764,18.300001,127.0,49.0,418.99777,7.463,100.0,32.0,32.0,0.0
2024-01-03 15:00:00+00:00,514.6,8.3,79.2,15.0,12.0,34.963467,7.3485003,100.0,52.0,40.0,93.55223,8.5234995,100.0,26.0,24.0,18.012644,9.698,72.9,68.0,37.0,250.26859,9.064,43.800003,55.0,24.0,285.1831,7.163,100.0,12.0,12.0,0.0
2024-01-03 16:00:00+00:00,0.0,7.85,100.0,0.0,0.0,0.0,6.9985,100.0,6.0,6.0,0.0,7.8735,100.0,2.0,2.0,0.0,9.498,74.4,4.0,3.0,15.769635,8.514,100.0,2.0,2.0,0.0,6.813,100.0,0.0,0.0,0.0
2024-01-03 17:00:00+00:00,0.0,8.05,100.0,0.0,0.0,0.0,6.7985,100.0,0.0,0.0,0.0,7.5734997,100.0,0.0,0.0,0.0,9.098,62.4,0.0,0.0,0.0,8.714001,96.0,0.0,0.0,0.0,6.463,100.0,0.0,0.0,0.0
2024-01-03 18:00:00+00:00,0.0,7.85,100.0,0.0,0.0,0.0,5.9485,100.0,0.0,0.0,0.0,7.5734997,100.0,0.0,0.0,0.0,8.948,100.0,0.0,0.0,0.0,7.914,100.0,0.0,0.0,0.0,6.363,100.0,0.0,0.0,0.0
2024-01-03 19:00:00+00:00,0.0,8.15,100.0,0.0,0.0,0.0,6.4485,100.0,0.0,0.0,0.0,7.4735,81.3,0.0,0.0,0.0,8.998,89.700005,0.0,0.0,0.0,8.064,87.3,0.0,0.0,0.0,6.263,100.0,0.0,0.0,0.0
2024-01-03 20:00:00+00:00,0.0,7.85,100.0,0.0,0.0,0.0,6.2485,100.0,0.0,0.0,0.0,7.3234997,100.0,0.0,0.0,0.0,7.698,100.0,0.0,0.0,0.0,7.8139997,100.0,0.0,0.0,0.0,6.063,100.0,0.0,0.0,0.0
2024-01-03 21:00:00+00:00,0.0,7.8,100.0,0.0,0.0,0.0,5.9985,100.0,0.0,0.0,0.0,7.3234997,100.0,0.0,0.0,0.0,8.398,100.0,0.0,0.0,0.0,7.614,100.0,0.0,0.0,0.0,5.563,100.0,0.0,0.0,0.0
2024-01-03 22:00:00+00:00,0.0,7.4,100.0,0.0,0.0,0.0,5.9485,100.0,0.0,0.0,0.0,7.1735,100.0,0.0,0.0,0.0,7.898,100.0,0.0,0.0,0.0,7.264,100.0,0.0,0.0,0.0,4.863,100.0,0.0,0.0,0.0
2024-01-03 23:00:00+00:00,0.0,6.95,74.1,0.0,0.0,0.0,5.7485,100.0,0.0,0.0,0.0,7.5235,100.0,0.0,0.0,0.0,7.248,98.1,0.0,0.0,0.0,7.2139997,100.0,0.0,0.0,0.0,4.163,76.8,0.0,0.0,0.0
2024-01-04 00:00:00+00:00,0.0,6.6,48.0,0.0,0.0,0.0,5.5485,100.0,0.0,0.0,0.0,7.1235,100.0,0.0,0.0,0.0,6.648,68.7,0.0,0.0,0.0,7.514,100.0,0.0,0.0,0.0,3.063,100.0,0.0,0.0,0.0
2024-01-04 01:00:00+00:00,0.0,6.5,92.100006,0.0,0.0,0.0,5.8985,100.0,0.0,0.0,0.0,7.1235,100.0,0.0,0.0,0.0,6.948,44.7,0.0,0.0,0.0,7.7139997,100.0,0.0,0.0,0.0,3.263,100.0,0.0,0.0,0.0
2024-01-04 02:00:00+00:00,0.0,6.65,97.200005,0.0,0.0,0.0,6.0985003,100.0,0.0,0.0,0.0,6.9735,100.0,0.0,0.0,0.0,6.648,100.0,0.0,0.0,0.0,7.3139997,100.0,0.0,0.0,0.0,2.613,100.0,0.0,0.0,0.0
2024-01-04 03:00:00+00:00,0.0,6.55,100.0,0.0,0.0,0.0,5.6485,100.0,0.0,0.0,0.0,6.7735,96.3,0.0,0.0,0.0,6.248,100.0,0.0,0.0,0.0,7.014,100.0,0.0,0.0,0.0,1.913,100.0,0.0,0.0,0.0
2024-01-04 04:00:00+00:00,0.0,6.55,100.0,0.0,0.0,0.0,5.5485,94.5,0.0,0.0,0.0,6.5235,93.0,0.0,0.0,0.0,6.098,100.0,0.0,0.0,0.0,6.764,81.3,0.0,0.0,0.0,1.513,100.0,0.0,0.0,0.0
2024-01-04 05:00:00+00:00,0.0,6.55,100.0,0.0,0.0,0.0,4.6485,100.0,0.0,0.0,0.0,6.2235,96.0,0.0,0.0,0.0,6.248,100.0,0.0,0.0,0.0,6.2139997,100.0,0.0,0.0,0.0,1.063,100.0,0.0,0.0,0.0
2024-01-04 06:00:00+00:00,0.3,6.05,100.0,0.0,0.0,0.0,5.3985,100.0,0.0,0.0,0.0,6.0235,93.0,0.0,0.0,0.0,6.348,100.0,0.0,0.0,0.0,6.514,96.9,0.0,0.0,0.0,0.713,100.0,0.0,0.0,0.0
2024-01-04 07:00:00+00:00,1223.9,4.65,100.0,0.0,0.0,0.0,5.2485,100.0,0.0,0.0,0.0,5.8234997,100.0,0.0,0.0,0.0,5.598,100.0,0.0,0.0,0.0,6.864,64.799995,0.0,0.0,0.0,0.563,100.0,0.0,0.0,0.0
2024-01-04 08:00:00+00:00,9272.9,4.3,100.0,4.0,4.0,0.0,5.2485,100.0,2.0,2.0,0.0,5.6235,100.0,1.0,1.0,0.0,5.798,100.0,6.0,6.0,0.0,6.5639997,100.0,9.0,7.0,27.624798,0.263,100.0,0.0,0.0,0.0
2024-01-04 09:00:00+00:00,20031.3,3.6,100.0,18.0,18.0,0.0,5.1985,97.8,27.0,26.0,8.301488,5.6235,97.2,30.0,28.0,18.132069,5.898,100.0,18.0,17.0,6.3191442,6.664,100.0,23.0,23.0,0.0,0.063,100.0,9.0,9.0,0.0
2024-01-04 10:00:00+00:00,28039.2,3.15,100.0,26.0,26.0,0.0,5.2485,100.0,51.0,40.0,52.91164,5.8234997,97.5,82.0,69.0,69.97874,6.598,100.0,58.0,52.0,24.145657,6.764,100.0,56.0,55.0,4.701093,-0.037,100.0,33.0,33.0,0.0
2024-01-04 11:00:00+00:00,31086.1,2.65,100.0,20.0,20.0,0.0,5.7985,34.8,133.0,92.0,151.82954,5.8234997,100.0,94.0,78.0,65.81167,7.098,46.2,84.0,80.0,13.24392,6.414,100.0,49.0,49.0,0.0,0.013,100.0,57.0,57.0,0.0
2024-01-04 12:00:00+00:00,28621.699999999997,2.4,100.0,27.0,27.0,0.0,6.1485,53.699997,214.0,78.0,463.1963,5.6735,100.0,65.0,55.0,37.99438,7.498,55.800003,212.0,85.0,402.91153,6.614,100.0,74.0,68.0,21.583153,-0.087,100.0,63.0,63.0,0.0
2024-01-04 13:00:00+00:00,21298.3,1.75,100.0,31.0,31.0,0.0,5.9485,61.8,205.0,82.0,444.03302,5.5734997,100.0,50.0,46.0,16.350521,8.048,45.300003,226.0,62.0,571.15894,6.914,100.0,62.0,52.0,39.679855,-0.037,100.0,47.0,47.0,0.0
2024-01-04 14:00:00+00:00,8783.6,1.3,100.0,51.0,50.0,6.9096937,5.7485,51.299995,153.0,56.0,438.21097,5.5734997,100.0,19.0,19.0,0.0,8.148,43.199997,152.0,60.0,418.70053,6.414,100.0,39.0,33.0,31.842402,-0.237,100.0,38.0,38.0,0.0
2024-01-04 15:00:00+00:00,520.3000000000001,0.8,100.0,13.0,13.0,0.0,5.2485,63.3,79.0,35.0,337.29742,5.4235,100.0,9.0,9.0,0.0,7.398,47.1,71.0,31.0,319.6413,6.364,100.0,6.0,6.0,0.0,-0.43699998,100.0,10.0,10.0,0.0
2024-01-04 16:00:00+00:00,0.1,0.45,100.0,0.0,0.0,0.0,4.8485003,72.6,9.0,6.0,40.702003,5.1735,100.0,0.0,0.0,0.0,6.598,23.699999,5.0,3.0,30.93004,6.164,100.0,1.0,1.0,0.0,-0.537,90.0,0.0,0.0,0.0
2024-01-04 17:00:00+00:00,0.0,0.2,99.3,0.0,0.0,0.0,4.3985,36.6,0.0,0.0,0.0,5.0235,100.0,0.0,0.0,0.0,6.098,32.1,0.0,0.0,0.0,6.364,100.0,0.0,0.0,0.0,-0.63699996,90.0,0.0,0.0,0.0
2024-01-04 18:00:00+00:00,0.0,-0.55,100.0,0.0,0.0,0.0,4.3985,42.6,0.0,0.0,0.0,5.0734997,100.0,0.0,0.0,0.0,5.598,50.4,0.0,0.0,0.0,6.4639997,100.0,0.0,0.0,0.0,-0.737,91.8,0.0,0.0,0.0
2024-01-04 19:00:00+00:00,0.0,-0.6,96.6,0.0,0.0,0.0,3.9984999,95.4,0.0,0.0,0.0,5.4235,93.0,0.0,0.0,0.0,4.648,33.9,0.0,0.0,0.0,6.264,100.0,0.0,0.0,0.0,-0.88699996,90.0,0.0,0.0,0.0
